,#label,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,semantic_similarity_nouns,semantic_similarity_verbs,"semantic_similarity_adjectives
"
752,1.0,wiki_162,13.72,6.274051999999999,2.3965009999999998,343,4.36,5.76,0.8,0.48,0.0,0.139942,0.055394000000000006,0.28279899999999997,0.081633,0.146766,0.14285699999999998,0.026239,0.058309,0.230321,0.13411099999999998,0.5422739999999999,8.622634,1.92,0.36,1.44,1.76,0.124982,0.370177,0.234332
753,1.0,wiki_163,12.833333,6.428571,2.298701,154,4.1666669999999995,5.4166669999999995,0.916667,0.666667,0.083333,0.103896,0.038961,0.298701,0.136364,0.149171,0.162338,0.012987,0.08441599999999999,0.220779,0.08441599999999999,0.660131,8.974491,1.333333,0.166667,1.75,1.666667,0.23158,0.48342700000000005,0.15095899999999998
754,1.0,wiki_164,12.333333,6.081081,2.3513509999999997,37,3.666667,5.0,0.0,0.0,0.0,0.108108,0.081081,0.216216,0.081081,0.119048,0.162162,0.027027,0.0,0.162162,0.13513499999999998,0.783784,7.390605,1.333333,0.333333,1.666667,0.333333,0.082724,0.0,0.12576600000000002
755,1.0,wiki_165,9.818182,6.893519,2.402778,216,3.363636,4.772727,0.409091,0.272727,0.090909,0.125,0.064815,0.300926,0.143519,0.14902,0.11111099999999999,0.041667,0.055555999999999994,0.199074,0.134259,0.657407,9.031603,1.227273,0.409091,0.727273,1.136364,0.16541199999999998,0.48851300000000003,0.21070999999999998
756,1.0,wiki_166,16.956522,6.597436,2.333333,390,5.478261,6.478261,0.695652,0.304348,0.0,0.06666699999999999,0.033333,0.253846,0.117949,0.109589,0.13333299999999998,0.015385,0.084615,0.17948699999999998,0.11538499999999999,0.552972,9.332646,1.130435,0.26087,1.8695650000000001,2.347826,0.201231,0.46411899999999995,0.23200700000000002
757,1.0,wiki_167,34.0,6.019608,2.186275,102,10.666667,9.0,1.666667,0.333333,0.0,0.058824,0.029412,0.245098,0.156863,0.10526300000000001,0.186275,0.019608,0.068627,0.156863,0.08823500000000001,0.666667,8.702955000000001,2.0,0.666667,6.0,3.666667,0.2142,0.48417,0.204743
758,1.0,wiki_168,11.2,6.785714,2.625,112,3.8,4.5,1.3,0.6,0.0,0.08035700000000001,0.017856999999999998,0.232143,0.11607100000000001,0.21126799999999998,0.14285699999999998,0.026786,0.044643,0.28571399999999997,0.08035700000000001,0.660714,8.657844,0.9,0.3,1.3,1.0,0.23205399999999998,0.46107200000000004,0.265786
759,1.0,wiki_169,14.8,6.112613,2.310811,222,4.4,6.066667,0.733333,0.2,0.06666699999999999,0.12162200000000001,0.054054,0.252252,0.11711700000000001,0.142308,0.162162,0.058559,0.04955,0.193694,0.12162200000000001,0.621622,8.818076,1.8,0.866667,1.7333330000000002,1.8666669999999999,0.153578,0.397906,0.169945
760,1.0,wiki_170,18.428570999999998,6.693797999999999,2.414729,258,6.071429,6.357143,1.0714290000000002,0.428571,0.0,0.09302300000000001,0.034884,0.29845,0.12403099999999999,0.162338,0.17441900000000002,0.046512,0.069767,0.20542600000000003,0.116279,0.620155,8.663974000000001,1.642857,0.857143,2.0,1.9285709999999998,0.282828,0.452829,0.22350599999999998
761,1.0,wiki_171,22.384615,6.415808,2.2233680000000002,291,8.153846000000001,6.923077,1.7692310000000002,0.538462,0.0,0.092784,0.034364,0.364261,0.113402,0.125749,0.147766,0.037801,0.054983000000000004,0.16838499999999998,0.127148,0.601375,8.663542,2.076923,0.8461540000000001,2.8461540000000003,2.384615,0.227359,0.306219,0.22296799999999997
762,1.0,wiki_172,11.428571,6.2,2.2875,80,3.428571,5.714286,0.428571,0.28571399999999997,0.14285699999999998,0.1125,0.05,0.2,0.1625,0.183673,0.1,0.0375,0.0625,0.25,0.125,0.7375,8.715224000000001,1.285714,0.428571,1.0,1.5714290000000002,0.15657000000000001,0.355143,0.167184
763,1.0,wiki_173,13.461538000000001,6.594286,2.325714,175,4.0,5.846154,0.461538,0.307692,0.0,0.12,0.05714299999999999,0.30285700000000004,0.12571400000000002,0.129353,0.148571,0.04,0.028571,0.21714299999999997,0.16,0.617143,8.788456,1.615385,0.538462,1.6923080000000001,1.384615,0.147591,0.49199899999999996,0.280196
764,1.0,wiki_174,13.647059,6.836207000000001,2.4698279999999997,232,4.235294000000001,5.882353,0.882353,0.17647100000000002,0.058824,0.116379,0.056034,0.297414,0.163793,0.155797,0.12930999999999998,0.021552,0.086207,0.202586,0.107759,0.594828,9.004693,1.529412,0.294118,1.0,1.647059,0.19755899999999998,0.499046,0.259418
765,1.0,wiki_175,11.384615,7.283784,2.358108,148,3.615385,5.076923000000001,0.307692,0.384615,0.0,0.11486500000000001,0.054054,0.297297,0.155405,0.113095,0.168919,0.033783999999999995,0.060811000000000004,0.162162,0.094595,0.648649,9.257195,1.307692,0.384615,1.384615,1.0,0.31855900000000004,0.475362,0.24902
766,1.0,wiki_176,16.6,6.734939999999999,2.915663,83,7.0,5.6,3.2,0.2,0.0,0.07228899999999999,0.036145,0.542169,0.036145,0.407143,0.12048199999999999,0.0,0.024096,0.722892,0.084337,0.82716,9.943045,1.2,0.0,1.8,0.8,0.275465,0.5892229999999999,0.341617
767,1.0,wiki_177,13.5,6.037037000000001,2.271605,81,3.666667,5.3333330000000005,0.833333,0.333333,0.0,0.160494,0.074074,0.22222199999999998,0.11111099999999999,0.181818,0.074074,0.09876499999999999,0.049382999999999996,0.246914,0.11111099999999999,0.8,7.560986,2.166667,1.333333,0.666667,1.333333,0.09765900000000001,0.318764,0.14137
