,#id,sentence_length,characters_per_word,syllables_per_word,text_length,noun_phrases_per_sent,tree_height,sub_clauses_per_sent,sents_with_verb_as_root,sents_with_nouns_as_root,POS_verbs,POS_aux_verbs,POS_nouns,POS_adjectives,POS_punctuations,POS_determiners,POS_pronouns,POS_conjunctions,POS_numerales,POS_adpositions,ttr,lexical_complexity_score,verbs_in_sentence,semantic_similarity_nouns,semantic_similarity_verbs,semantic_similarity_adjectives,pronouns_per_sentence,articles_per_sentence,count_of_discourse_markers,Contingency.Cause.Reason,Expansion.Substitution.Arg2-as-subst,Contingency.Cause.Result,Contingency.Purpose.Arg1-as-goal,Expansion.Conjunction,Temporal.Asynchronous.Succession,Comparison.Contrast,Temporal.Asynchronous.Precedence,Expansion.Exception.Arg2-as-except,Comparison.Concession.Arg1-as-denier,Contingency.Negative-condition.Arg2-as-negCond,Expansion.Disjunction,Expansion.Manner.Arg1-as-manner,Contingency.Negative-condition.Arg1-as-negCond,Comparison.Concession.Arg2-as-denier,Temporal.Synchronous,Contingency.Purpose.Arg2-as-goal,Expansion.Exception.Arg1-as-except,Expansion.Level-of-detail.Arg2-as-detail,Expansion.Substitution.Arg1-as-subst,Contingency.Condition.Arg1-as-cond,Expansion.Instantiation.Arg2-as-instance,Contingency.Condition.Arg2-as-cond,Expansion.Equivalence,Expansion.Manner.Arg2-as-manner
43,summary_FFN_maz-14422,15.666667000000002,4.744681,1.7021279999999999,47,5.3333330000000005,5.0,1.666667,0.666667,0.0,0.170213,0.021277,0.19148900000000002,0.0,0.16071400000000002,0.14893599999999999,0.10638299999999999,0.042553,0.23404299999999997,0.085106,0.733333,7.346933,2.666667,0.13833299999999998,0.361877,0.0,1.666667,1.333333,1.666667,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
44,summary_FFN_maz-1453,13.5,5.740741000000001,2.018519,108,4.0,5.625,0.5,0.125,0.25,0.12037,0.046296,0.25,0.074074,0.107438,0.138889,0.037037,0.027777999999999997,0.22222199999999998,0.148148,0.712871,7.141184,1.625,0.161592,0.348909,0.09625399999999999,0.5,1.5,1.125,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
45,summary_FFN_maz-14590,18.333333,6.472727,2.163636,55,5.3333330000000005,6.0,1.0,0.0,0.0,0.145455,0.072727,0.25454499999999997,0.127273,0.112903,0.2,0.036364,0.018182,0.2,0.072727,0.826923,8.75414,2.666667,0.175805,0.44230600000000003,0.09608,0.666667,2.666667,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
46,summary_FFN_maz-14654,22.5,5.5777779999999995,2.0333330000000003,90,6.0,7.0,1.5,0.5,0.0,0.14444400000000002,0.06666699999999999,0.155556,0.088889,0.134615,0.155556,0.077778,0.055555999999999994,0.266667,0.055555999999999994,0.744186,7.991977,3.25,0.285221,0.418864,0.25014200000000003,1.75,2.5,3.25,4,0,1,0,1,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0
47,summary_FFN_maz-14792,18.333333,6.290909,2.2454549999999998,110,5.5,7.0,1.5,0.166667,0.0,0.181818,0.090909,0.21818200000000001,0.063636,0.12698399999999999,0.10909100000000001,0.118182,0.018182,0.236364,0.10909100000000001,0.644231,8.318254,3.333333,0.211707,0.313067,0.357443,2.166667,1.5,1.166667,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0
48,summary_FFN_maz-14813,20.0,5.5,1.95,40,5.0,7.5,1.0,0.5,0.0,0.2,0.05,0.175,0.1,0.090909,0.1,0.075,0.05,0.15,0.05,0.8947370000000001,8.860265,4.0,0.056571,0.255352,0.19534,1.5,1.5,4.0,1,0,0,0,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
49,summary_FFN_maz-14841,20.8,6.528846,2.442308,104,6.4,7.6,2.0,0.0,0.0,0.153846,0.067308,0.25,0.125,0.168,0.09615399999999999,0.067308,0.05769199999999999,0.288462,0.067308,0.757576,9.038780000000001,3.2,0.22726300000000002,0.304819,0.28017800000000004,1.4,1.6,2.6,1,0,0,0,7,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
50,summary_FFN_maz-14853,22.285714000000002,5.224359,1.8141029999999998,156,6.285714,7.428571000000001,1.5714290000000002,0.857143,0.0,0.108974,0.019231,0.224359,0.083333,0.103448,0.14743599999999998,0.070513,0.064103,0.173077,0.134615,0.644295,7.515611,2.428571,0.196419,0.338404,0.187615,1.5714290000000002,2.571429,2.428571,0,1,0,0,7,0,0,0,0,0,0,1,0,0,2,1,3,0,0,0,0,0,0,2,0
51,summary_FFN_maz-14881,18.6,6.150538,2.2150540000000003,93,5.0,6.0,1.4,0.2,0.0,0.16129000000000002,0.053763,0.215054,0.086022,0.11428599999999998,0.16129000000000002,0.043011,0.06451599999999999,0.23655900000000002,0.075269,0.806818,8.579782000000002,3.0,0.170727,0.39326300000000003,0.15521500000000002,0.8,2.2,1.4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0
52,summary_FFN_maz-15155,12.0,5.05,1.8833330000000001,60,3.2,5.2,0.6,0.2,0.0,0.183333,0.1,0.266667,0.033333,0.104478,0.183333,0.033333,0.0,0.216667,0.1,0.6727270000000001,7.7174320000000005,2.2,0.11414500000000001,0.517328,0.35638600000000004,0.4,1.6,0.8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
53,summary_FFN_maz-15209,21.666667,6.338462,2.353846,130,5.3333330000000005,7.5,0.833333,0.166667,0.0,0.153846,0.069231,0.2,0.10769200000000001,0.126667,0.11538499999999999,0.046154,0.069231,0.276923,0.084615,0.717742,8.717518,3.333333,0.083538,0.320346,0.138965,1.0,1.833333,3.0,1,0,2,0,8,0,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0
54,summary_FFN_maz-15347,16.0,5.5,1.96875,96,5.6666669999999995,4.6666669999999995,1.666667,0.333333,0.166667,0.135417,0.041667,0.229167,0.0625,0.14285699999999998,0.145833,0.072917,0.03125,0.229167,0.135417,0.722222,8.1934,2.166667,0.17838099999999998,0.37240100000000004,0.23748899999999998,1.166667,1.666667,1.333333,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
55,summary_FFN_maz-15609,18.5,5.702703,2.121622,74,4.0,6.25,1.75,0.0,0.0,0.175676,0.054054,0.202703,0.094595,0.16853900000000002,0.175676,0.013513999999999998,0.054054,0.256757,0.054054,0.8,7.868637,3.25,0.199285,0.467765,0.36596999999999996,0.25,2.25,2.75,0,0,1,1,3,0,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0
56,summary_FFN_maz-15702,14.333332999999998,5.837209,1.9534880000000001,43,4.3333330000000005,6.3333330000000005,0.666667,0.0,0.0,0.232558,0.09302300000000001,0.209302,0.023256,0.10416700000000001,0.09302300000000001,0.069767,0.0,0.186047,0.139535,0.85,8.989444,3.333333,0.27084600000000003,0.395061,0.0,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,summary_FFN_maz-15734,17.6,5.136364,1.806818,88,3.8,6.6,0.8,0.6,0.0,0.136364,0.056817999999999994,0.227273,0.090909,0.092784,0.181818,0.022727,0.079545,0.170455,0.11363599999999999,0.710843,7.98999,2.4,0.305191,0.42205600000000004,0.10282000000000001,0.4,2.0,2.4,2,0,0,0,3,0,1,1,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0
58,summary_FFN_maz-15970,26.0,5.076923000000001,1.846154,26,5.0,6.0,1.0,0.0,0.0,0.076923,0.038462,0.19230799999999998,0.153846,0.07142899999999999,0.11538499999999999,0.038462,0.038462,0.230769,0.076923,0.92,7.174239,2.0,0.041757,0.0,0.098764,1.0,3.0,3.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,summary_FFN_maz-16153,18.0,6.069444,2.180556,72,4.25,7.0,1.5,0.25,0.0,0.180556,0.055555999999999994,0.194444,0.069444,0.14285699999999998,0.194444,0.027777999999999997,0.083333,0.23611100000000002,0.069444,0.808824,8.632944,3.25,0.20611999999999997,0.429425,0.19799,0.5,2.75,2.25,2,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0
60,summary_FFN_maz-16177,15.333332999999998,5.565217,2.0217389999999997,46,4.0,6.0,0.333333,0.333333,0.0,0.152174,0.086957,0.26087,0.086957,0.08,0.195652,0.021738999999999998,0.021738999999999998,0.173913,0.108696,0.8139529999999999,7.923348,2.333333,0.1519,0.458524,0.243496,0.333333,3.0,1.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
61,summary_FFN_maz-16250,17.333333,5.423076999999999,1.9519229999999999,104,4.6666669999999995,6.6666669999999995,0.5,0.166667,0.166667,0.11538499999999999,0.048076999999999995,0.211538,0.076923,0.095652,0.163462,0.05769199999999999,0.076923,0.19230799999999998,0.11538499999999999,0.714286,7.513453999999999,2.0,0.11573299999999999,0.339846,0.15196800000000002,1.0,2.0,2.333333,2,0,0,0,5,0,0,0,0,0,0,1,0,0,1,1,3,0,0,0,0,0,0,0,0
62,summary_FFN_maz-16294,18.142857,5.874016,2.047244,127,5.428571,4.714286,1.0,0.571429,0.0,0.12598399999999998,0.031495999999999996,0.19685,0.047244,0.11188800000000002,0.15748,0.070866,0.023622,0.204724,0.12598399999999998,0.733333,7.963077,2.285714,0.194734,0.44631800000000005,0.08481799999999999,1.285714,2.142857,1.5714290000000002,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0
63,summary_FFN_maz-16353,15.8,5.443038,1.962025,79,4.4,5.8,0.6,0.4,0.0,0.126582,0.050633,0.202532,0.088608,0.091954,0.139241,0.075949,0.012657999999999999,0.16455699999999998,0.139241,0.743243,8.39931,2.0,0.117658,0.380531,0.150167,1.2,1.8,0.8,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
64,summary_FFN_maz-16360,20.5,5.97561,2.170732,41,5.0,7.0,0.5,0.5,0.0,0.146341,0.048780000000000004,0.195122,0.073171,0.068182,0.195122,0.024390000000000002,0.024390000000000002,0.146341,0.146341,0.8205129999999999,8.694675,3.0,0.083777,0.48155299999999995,0.335861,0.5,2.5,1.5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
